model,fold_id,biofix_rule,use_cultivar_thresholds,use_offsets,n_train,n_test,shared_boundaries,cultivar_boundaries,cultivar_offsets
cultivar_major_thresholds_offset,fold2:Duan_2022_毛葡萄野酿2号|Duan_2024_毛葡萄野酿2号,jan1,True,True,118,33,"{""00"": 0.0, ""10"": 80.0, ""50"": 110.0, ""60"": 540.0, ""70"": 570.0, ""80"": 950.0, ""90"": 2260.0}","{""JF"": {""00"": 0.0, ""10"": 120.0, ""50"": 190.0, ""60"": 460.0, ""70"": 550.0, ""80"": 950.0, ""90"": 2140.0}, ""MPT"": {""00"": 0.0, ""10"": 120.0, ""50"": 200.0, ""60"": 650.0, ""70"": 830.0, ""80"": 1810.0, ""90"": 2260.0}, ""wk"": {""00"": 0.0, ""10"": 10.0, ""50"": 80.0, ""60"": 180.0, ""70"": 240.0, ""80"": 520.0, ""90"": 1960.0}}","{""JF"": 0.0, ""MPT"": 0.0, ""wk"": 0.0}"
cultivar_major_thresholds_offset,fold3:Mingyang_2023_巨峰|Duan_2023_毛葡萄野酿2号,jan1,True,True,73,78,"{""00"": 0.0, ""10"": 80.0, ""50"": 400.0, ""60"": 660.0, ""70"": 750.0, ""80"": 1130.0, ""90"": 1840.0}","{""JF"": {""00"": 0.0, ""10"": 80.0, ""50"": 400.0, ""60"": 490.0, ""70"": 580.0, ""80"": 1130.0, ""90"": 1840.0}, ""MPT"": {""00"": 0.0, ""10"": 220.0, ""50"": 440.0, ""60"": 660.0, ""70"": 750.0, ""80"": 1630.0, ""90"": 1840.0}, ""wk"": {""00"": 0.0, ""10"": 10.0, ""50"": 80.0, ""60"": 180.0, ""70"": 240.0, ""80"": 520.0, ""90"": 1960.0}}","{""JF"": 0.0, ""MPT"": 0.0, ""wk"": 0.0}"
shared_major_thresholds,fold1:Mingyang_2024_巨峰|guilin_2022_温克,tmean_ge_8_run_3d,False,False,111,40,"{""00"": 0.0, ""10"": 220.0, ""50"": 240.0, ""60"": 660.0, ""70"": 720.0, ""80"": 1810.0, ""90"": 2260.0}","{""JF"": {""00"": 0.0, ""10"": 220.0, ""50"": 240.0, ""60"": 660.0, ""70"": 720.0, ""80"": 1810.0, ""90"": 2260.0}, ""MPT"": {""00"": 0.0, ""10"": 220.0, ""50"": 240.0, ""60"": 660.0, ""70"": 720.0, ""80"": 1810.0, ""90"": 2260.0}, ""wk"": {""00"": 0.0, ""10"": 10.0, ""50"": 80.0, ""60"": 180.0, ""70"": 240.0, ""80"": 520.0, ""90"": 1960.0}}","{""JF"": 0.0, ""MPT"": 0.0, ""wk"": 0.0}"
shared_major_thresholds,fold2:Duan_2022_毛葡萄野酿2号|Duan_2024_毛葡萄野酿2号,tmean_ge_8_run_3d,False,False,118,33,"{""00"": 0.0, ""10"": 80.0, ""50"": 110.0, ""60"": 530.0, ""70"": 570.0, ""80"": 950.0, ""90"": 2260.0}","{""JF"": {""00"": 0.0, ""10"": 80.0, ""50"": 110.0, ""60"": 530.0, ""70"": 570.0, ""80"": 950.0, ""90"": 2260.0}, ""MPT"": {""00"": 0.0, ""10"": 80.0, ""50"": 110.0, ""60"": 530.0, ""70"": 570.0, ""80"": 950.0, ""90"": 2260.0}, ""wk"": {""00"": 0.0, ""10"": 10.0, ""50"": 80.0, ""60"": 180.0, ""70"": 240.0, ""80"": 520.0, ""90"": 1960.0}}","{""JF"": 0.0, ""MPT"": 0.0, ""wk"": 0.0}"
shared_major_thresholds,fold3:Mingyang_2023_巨峰|Duan_2023_毛葡萄野酿2号,tmean_ge_8_run_3d,False,False,73,78,"{""00"": 0.0, ""10"": 80.0, ""50"": 400.0, ""60"": 670.0, ""70"": 750.0, ""80"": 1120.0, ""90"": 1830.0}","{""JF"": {""00"": 0.0, ""10"": 80.0, ""50"": 400.0, ""60"": 670.0, ""70"": 750.0, ""80"": 1120.0, ""90"": 1830.0}, ""MPT"": {""00"": 0.0, ""10"": 80.0, ""50"": 400.0, ""60"": 670.0, ""70"": 750.0, ""80"": 1120.0, ""90"": 1830.0}, ""wk"": {""00"": 0.0, ""10"": 10.0, ""50"": 80.0, ""60"": 180.0, ""70"": 240.0, ""80"": 520.0, ""90"": 1960.0}}","{""JF"": 0.0, ""MPT"": 0.0, ""wk"": 0.0}"
shared_major_thresholds_cultivar_offset,fold1:Mingyang_2024_巨峰|guilin_2022_温克,tmean_ge_8_run_3d,False,True,111,40,"{""00"": 0.0, ""10"": 220.0, ""50"": 240.0, ""60"": 660.0, ""70"": 720.0, ""80"": 1810.0, ""90"": 2260.0}","{""JF"": {""00"": 0.0, ""10"": 220.0, ""50"": 240.0, ""60"": 660.0, ""70"": 720.0, ""80"": 1810.0, ""90"": 2260.0}, ""MPT"": {""00"": 0.0, ""10"": 220.0, ""50"": 240.0, ""60"": 660.0, ""70"": 720.0, ""80"": 1810.0, ""90"": 2260.0}, ""wk"": {""00"": 0.0, ""10"": 10.0, ""50"": 80.0, ""60"": 180.0, ""70"": 240.0, ""80"": 520.0, ""90"": 1960.0}}","{""JF"": -170.0, ""MPT"": 0.0, ""wk"": 0.0}"
shared_major_thresholds_cultivar_offset,fold2:Duan_2022_毛葡萄野酿2号|Duan_2024_毛葡萄野酿2号,tmean_ge_8_run_3d,False,True,118,33,"{""00"": 0.0, ""10"": 80.0, ""50"": 110.0, ""60"": 530.0, ""70"": 570.0, ""80"": 950.0, ""90"": 2260.0}","{""JF"": {""00"": 0.0, ""10"": 80.0, ""50"": 110.0, ""60"": 530.0, ""70"": 570.0, ""80"": 950.0, ""90"": 2260.0}, ""MPT"": {""00"": 0.0, ""10"": 80.0, ""50"": 110.0, ""60"": 530.0, ""70"": 570.0, ""80"": 950.0, ""90"": 2260.0}, ""wk"": {""00"": 0.0, ""10"": 10.0, ""50"": 80.0, ""60"": 180.0, ""70"": 240.0, ""80"": 520.0, ""90"": 1960.0}}","{""JF"": 0.0, ""MPT"": 130.0, ""wk"": 0.0}"
shared_major_thresholds_cultivar_offset,fold3:Mingyang_2023_巨峰|Duan_2023_毛葡萄野酿2号,tmean_ge_8_run_3d,False,True,73,78,"{""00"": 0.0, ""10"": 80.0, ""50"": 400.0, ""60"": 670.0, ""70"": 750.0, ""80"": 1120.0, ""90"": 1830.0}","{""JF"": {""00"": 0.0, ""10"": 80.0, ""50"": 400.0, ""60"": 670.0, ""70"": 750.0, ""80"": 1120.0, ""90"": 1830.0}, ""MPT"": {""00"": 0.0, ""10"": 80.0, ""50"": 400.0, ""60"": 670.0, ""70"": 750.0, ""80"": 1120.0, ""90"": 1830.0}, ""wk"": {""00"": 0.0, ""10"": 10.0, ""50"": 80.0, ""60"": 180.0, ""70"": 240.0, ""80"": 520.0, ""90"": 1960.0}}","{""JF"": 0.0, ""MPT"": 0.0, ""wk"": 0.0}"
cultivar_major_thresholds,fold1:Mingyang_2024_巨峰|guilin_2022_温克,tmean_ge_8_run_3d,True,False,111,40,"{""00"": 0.0, ""10"": 220.0, ""50"": 240.0, ""60"": 660.0, ""70"": 720.0, ""80"": 1810.0, ""90"": 2260.0}","{""JF"": {""00"": 0.0, ""10"": 220.0, ""50"": 240.0, ""60"": 370.0, ""70"": 460.0, ""80"": 950.0, ""90"": 1620.0}, ""MPT"": {""00"": 0.0, ""10"": 220.0, ""50"": 240.0, ""60"": 660.0, ""70"": 720.0, ""80"": 1810.0, ""90"": 2260.0}, ""wk"": {""00"": 0.0, ""10"": 10.0, ""50"": 80.0, ""60"": 180.0, ""70"": 240.0, ""80"": 520.0, ""90"": 1960.0}}","{""JF"": 0.0, ""MPT"": 0.0, ""wk"": 0.0}"
cultivar_major_thresholds,fold2:Duan_2022_毛葡萄野酿2号|Duan_2024_毛葡萄野酿2号,tmean_ge_8_run_3d,True,False,118,33,"{""00"": 0.0, ""10"": 80.0, ""50"": 110.0, ""60"": 530.0, ""70"": 570.0, ""80"": 950.0, ""90"": 2260.0}","{""JF"": {""00"": 0.0, ""10"": 120.0, ""50"": 190.0, ""60"": 460.0, ""70"": 550.0, ""80"": 950.0, ""90"": 2130.0}, ""MPT"": {""00"": 0.0, ""10"": 120.0, ""50"": 200.0, ""60"": 640.0, ""70"": 830.0, ""80"": 1810.0, ""90"": 2260.0}, ""wk"": {""00"": 0.0, ""10"": 10.0, ""50"": 80.0, ""60"": 180.0, ""70"": 240.0, ""80"": 520.0, ""90"": 1960.0}}","{""JF"": 0.0, ""MPT"": 0.0, ""wk"": 0.0}"
